,Reactions,Charge,Masses
345,EX_cpd00249_e,,"{'C': -9.0, 'H': -12.0, 'N': -2.0, 'O': -6.0}"
346,EX_cpd03424_e,-3.0,"{'C': -62.0, 'H': -91.0, 'Co': -1.0, 'N': -13.0, 'O': -14.0, 'P': -1.0, 'R': -1.0}"
347,EX_cpd00423_e,-3.0,"{'C': -62.0, 'H': -91.0, 'Co': -1.0, 'N': -13.0, 'O': -14.0, 'P': -1.0}"
348,EX_cpd00309_e,,"{'C': -5.0, 'H': -4.0, 'N': -4.0, 'O': -2.0}"
349,EX_cpd00306_e,,"{'C': -5.0, 'H': -12.0, 'O': -5.0}"
350,EX_cpd00154_e,,"{'C': -5.0, 'H': -10.0, 'O': -5.0}"
351,EX_cpd00034_e,-2.0,{'Zn': -1.0}
352,rxn00695,-1.0,{'H': -1.0}
353,rxn10772,-1.0,{'H': -1.0}
354,rxn13893,6.0,{}
355,rJB00275,4.0,"{'C': -29.0, 'H': -33.0, 'N': -9.0, 'O': -12.0}"
356,rxn13796,-4.0,{}
357,rJB00280,1.0,"{'C': -6.0, 'H': -11.0, 'O': -7.0}"
358,rJB00281,1.0,"{'C': -6.0, 'H': -9.0, 'O': -7.0}"
359,EX_cpd00331_e,3.0,"{'C': -6.0, 'H': -3.0, 'O': -6.0}"
360,EX_cpd00089_e,2.0,"{'C': -6.0, 'H': -11.0, 'O': -9.0, 'P': -1.0}"
361,EX_cpd00314_e,,"{'C': -6.0, 'H': -14.0, 'O': -6.0}"
362,EX_cpd00380_e,2.0,"{'C': -5.0, 'H': -4.0, 'O': -4.0}"
363,EX_cpd00581_e,1.0,"{'C': -6.0, 'H': -5.0, 'N': -2.0, 'O': -2.0}"
364,EX_cpd00281_e,,"{'C': -4.0, 'H': -9.0, 'N': -1.0, 'O': -2.0}"
365,rJB00282,1.0,"{'C': -1.0, 'H': 1.0, 'O': 2.0}"
366,PA14_Biomass,-1.5113298399999024,"{'C': -41.9327784699999, 'H': -78.4566227200001, 'O': -14.332990749999935, 'No': -0.006691959999999999, 'P': 0.4286072399999712, 'N': -10.021227199999942, 'Fe': -0.0001, 'S': -0.114475, 'R': -0.053367}"
367,rxn11546,4.0,{}
368,rJB00283,-1.0,"{'H': -3.0, 'O': -1.0}"
369,rJB00284,-1.0,"{'H': -3.0, 'O': -1.0}"
370,rxn05964,-1.0,{'H': -1.0}
371,rxn05901,3.0,"{'C': 4.0, 'H': 6.0, 'O': 3.0, 'R': 1.0}"
372,rxn06140,-3.0,"{'C': -4.0, 'H': -6.0, 'O': -3.0, 'R': -1.0}"
373,rxn05829,-1.0,{'H': -1.0}
374,rxn05824,-1.0,{'H': -1.0}
375,rxn00735,1.0,{'H': 1.0}
376,rxn01208,1.0,{'H': 1.0}
